Memory,Depth,Precision,Recall,F1_Score,
10,1,0.0130486,0.814815,0.0256859,
10,1,0.0144695,1,0.0285261,
10,1,0.0156156,0.962963,0.0307329,
50,1,0.0609481,1,0.114894,
50,1,0.0869565,0.814815,0.157143,
50,1,0.0708447,0.962963,0.13198,
100,1,0.118182,0.962963,0.210526,
100,1,0.135593,0.888889,0.235294,
100,1,0.12381,0.962963,0.219409,
500,1,0.45614,0.962963,0.619048,
500,1,0.294118,0.740741,0.421053,
500,1,0.289157,0.888889,0.436364,
