Memory,Depth,Precision,Recall,F1_Score,
10,1,0.0526889,0.979742,0.1,
10,1,0.051116,0.974217,0.0971355,
10,1,0.0540922,0.987109,0.102564,
50,1,0.222408,0.979742,0.362521,
50,1,0.22516,0.972376,0.365651,
50,1,0.213796,0.976059,0.350761,
100,1,0.340717,0.963168,0.503369,
100,1,0.345431,0.981584,0.511026,
100,1,0.336936,0.976059,0.500945,
200,1,0.510597,0.976059,0.670462,
200,1,0.473779,0.965009,0.635537,
200,1,0.493908,0.970534,0.654658,
