Memory,Precision,Recall,F1_Score,
10,0.85,0.62963,0.723404,
10,0.636364,0.518519,0.571429,
10,0.692308,0.666667,0.679245,
20,0.857143,0.666667,0.75,
20,0.62069,0.666667,0.642857,
20,0.75,0.777778,0.763636,
30,0.730769,0.703704,0.716981,
30,0.75,0.777778,0.763636,
30,0.85,0.62963,0.723404,
40,0.76,0.703704,0.730769,
40,0.580645,0.666667,0.62069,
40,0.685714,0.888889,0.774194,
50,0.655172,0.703704,0.678571,
50,0.636364,0.777778,0.7,
50,0.62069,0.666667,0.642857,
60,0.655172,0.703704,0.678571,
60,0.689655,0.740741,0.714286,
60,0.814815,0.814815,0.814815,
70,0.769231,0.740741,0.754717,
70,0.695652,0.592593,0.64,
70,0.689655,0.740741,0.714286,
80,0.809524,0.62963,0.708333,
80,0.6875,0.814815,0.745763,
80,0.761905,0.592593,0.666667,
90,0.666667,0.666667,0.666667,
90,0.62069,0.666667,0.642857,
90,0.793103,0.851852,0.821429,
100,0.545455,0.666667,0.6,
100,0.703704,0.703704,0.703704,
100,0.76,0.703704,0.730769,
200,0.7,0.777778,0.736842,
200,0.666667,0.740741,0.701754,
200,0.8,0.888889,0.842105,
300,0.777778,0.777778,0.777778,
300,0.724138,0.777778,0.75,
300,0.645161,0.740741,0.689655,
400,0.846154,0.814815,0.830189,
400,0.78125,0.925926,0.847458,
400,0.65625,0.777778,0.711864,
500,0.952381,0.740741,0.833333,
500,0.76,0.703704,0.730769,
500,0.772727,0.62963,0.693878,
600,0.806452,0.925926,0.862069,
600,0.757576,0.925926,0.833333,
600,0.862069,0.925926,0.892857,
700,0.705882,0.888889,0.786885,
700,0.7,0.777778,0.736842,
700,0.8,0.888889,0.842105,
800,0.678571,0.703704,0.690909,
800,0.705882,0.888889,0.786885,
800,0.827586,0.888889,0.857143,
900,0.75,0.888889,0.813559,
900,0.766667,0.851852,0.807018,
900,0.740741,0.740741,0.740741,
1000,0.807692,0.777778,0.792453,
1000,0.814815,0.814815,0.814815,
1000,0.904762,0.703704,0.791667,
