10000,2,6.5044,
10000,2,5.70575,
10000,2,6.26638,
5000,2,11.2894,
5000,2,11.5211,
5000,2,11.3195,
4000,2,17.1907,
4000,2,17.1316,
4000,2,16.9031,
3000,2,25.3793,
3000,2,25.1958,
3000,2,25.7952,
2000,2,53.8481,
2000,2,53.7679,
2000,2,54.5681,
1000,2,178.2,
1000,2,186.371,
1000,2,187.379,
900,2,219.617,
900,2,222.664,
900,2,222.798,
800,2,263.934,
800,2,264.93,
800,2,264.463,
700,2,316.318,
700,2,313.766,
700,2,315.966,
600,2,396.322,
600,2,395.476,
600,2,396.057,
500,2,489.98,
500,2,494.973,
500,2,491.558,
400,2,606.37,
400,2,609.843,
400,2,608.776,
300,2,741.365,
300,2,741.17,
300,2,739.19,
200,2,850.62,
200,2,854.368,
200,2,855.487,
100,2,901.24,
100,2,900.421,
100,2,898.346,
