0.02,1,0.0721113,1,0.134522,
0.02,0.5,0.0718419,1,0.134053,
0.02,0.25,0.0729141,1,0.135918,
0.02,0.125,0.0729409,1,0.135964,
0.04,1,0.401617,1,0.573077,
0.04,0.5,0.39418,1,0.565465,
0.04,0.25,0.388021,1,0.559099,
0.04,0.125,0.405718,1,0.57724,
0.06,1,0.710369,1,0.830662,
0.06,0.5,0.689815,1,0.816438,
0.06,0.25,0.680365,1,0.809783,
0.06,0.125,0.685057,1,0.813097,
0.08,1,0.831241,1,0.907845,
0.08,0.5,0.838028,0.998322,0.911179,
0.08,0.25,0.823856,0.996644,0.90205,
0.08,0.125,0.817308,0.998322,0.898792,
0.1,1,0.8739,1,0.932707,
0.1,0.5,0.902883,0.998322,0.948207,
0.1,0.25,0.883756,0.994966,0.936069,
0.1,0.125,0.905864,0.984899,0.94373,
0.12,1,0.932707,1,0.965182,
0.12,0.5,0.930926,0.994966,0.961882,
0.12,0.25,0.924765,0.989933,0.95624,
0.12,0.125,0.919129,0.991611,0.953995,
0.14,1,0.958199,1,0.978654,
0.14,0.5,0.956522,0.996644,0.976171,
0.14,0.25,0.942766,0.994966,0.968163,
0.14,0.125,0.938193,0.993289,0.964955,
0.16,1,0.928349,1,0.962843,
0.16,0.5,0.913846,0.996644,0.953451,
0.16,0.25,0.933754,0.993289,0.962602,
0.16,0.125,0.911901,0.989933,0.949316,
0.18,1,0.962843,1,0.98107,
0.18,0.5,0.954911,0.994966,0.974528,
0.18,0.25,0.94703,0.989933,0.968007,
0.18,0.125,0.961102,0.994966,0.977741,
0.2,1,0.970684,1,0.985124,
0.2,0.5,0.97686,0.991611,0.98418,
0.2,0.25,0.948718,0.993289,0.970492,
0.2,0.125,0.965404,0.983221,0.974231,
