Memory,Depth,ARE,
10000,2,6.38107,
10000,2,6.3632,
10000,2,6.60416,
5000,2,11.1883,
5000,2,11.6881,
5000,2,11.5341,
4000,2,17.1187,
4000,2,15.9556,
4000,2,16.7781,
3000,2,24.5594,
3000,2,24.6853,
3000,2,24.9339,
2000,2,53.9716,
2000,2,54.6442,
2000,2,54.5133,
1000,2,184.683,
1000,2,188.503,
1000,2,184.242,
900,2,221.124,
900,2,220.317,
900,2,220.758,
800,2,263.522,
800,2,262.513,
800,2,262.745,
700,2,312.446,
700,2,319.336,
700,2,318.123,
600,2,391.187,
600,2,394.169,
600,2,394.41,
500,2,487.479,
500,2,484.94,
500,2,647.728,
400,2,606.303,
400,2,607.55,
400,2,603.913,
300,2,728.53,
300,2,739.057,
300,2,738.344,
200,2,794.677,
200,2,851.224,
200,2,848.699,
100,2,893.265,
100,2,896.619,
100,2,892.621,
