Memory,RE,
4,0.59388,
4,0.0701482,
4,0.225265,
8,0.179689,
8,0.297629,
8,0.194815,
12,0.0881393,
12,0.0875496,
12,0.146721,
16,0.0869664,
16,0.240814,
16,0.425155,
32,0.225016,
32,0.00989699,
32,0.104179,
