Memory,False_Positive,
10,1,
10,1,
10,1,
20,0.993037,
20,0.99343,
20,0.992144,
30,0.940604,
30,0.93802,
30,0.936543,
40,0.849484,
40,0.848665,
40,0.847315,
50,0.746276,
50,0.732934,
50,0.736995,
60,0.638211,
60,0.63348,
60,0.637254,
70,0.534578,
70,0.536566,
70,0.5395,
80,0.452314,
80,0.454196,
80,0.457449,
90,0.39447,
90,0.392652,
90,0.386943,
100,0.330257,
100,0.327833,
100,0.332639,
1000,0.00179667,
1000,0.00184982,
1000,0.00154152,
