200,0.917671,0.841621,0.878002,
200,0.95102,0.858195,0.902227,
200,0.902153,0.848987,0.874763,
300,0.919132,0.858195,0.887619,
300,0.934524,0.867403,0.899713,
300,0.918561,0.893186,0.905696,
400,0.928709,0.887661,0.907721,
400,0.930368,0.88582,0.907547,
400,0.909761,0.909761,0.909761,
500,0.924386,0.900552,0.912313,
500,0.918095,0.887661,0.902622,
500,0.912727,0.924494,0.918573,
600,0.94162,0.92081,0.931099,
600,0.914657,0.907919,0.911275,
600,0.919776,0.907919,0.913809,
700,0.918561,0.893186,0.905696,
700,0.934457,0.918969,0.926648,
700,0.925373,0.913444,0.91937,
800,0.936449,0.922652,0.929499,
800,0.905967,0.922652,0.914234,
800,0.904676,0.926335,0.915378,
900,0.913669,0.935543,0.924477,
900,0.916364,0.928177,0.922232,
900,0.925926,0.92081,0.923361,
1000,0.920145,0.933702,0.926874,
1000,0.901434,0.926335,0.913715,
1000,0.914498,0.906077,0.910268,
2000,0.902527,0.92081,0.911577,
2000,0.919118,0.92081,0.919963,
2000,0.911504,0.948435,0.929603,
3000,0.903226,0.928177,0.915531,
3000,0.905694,0.937385,0.921267,
3000,0.9125,0.941068,0.926564,
4000,0.928832,0.937385,0.933089,
4000,0.910394,0.935543,0.922797,
4000,0.914439,0.944751,0.929348,
5000,0.916515,0.930018,0.923218,
5000,0.913121,0.948435,0.930443,
5000,0.915078,0.972376,0.942857,
6000,0.911552,0.930018,0.920693,
6000,0.899471,0.939227,0.918919,
6000,0.909414,0.94291,0.925859,
7000,0.909253,0.941068,0.924887,
7000,0.91833,0.93186,0.925046,
7000,0.920863,0.94291,0.931756,
8000,0.920434,0.937385,0.928832,
8000,0.910683,0.957643,0.933573,
8000,0.907965,0.944751,0.925993,
9000,0.920721,0.941068,0.930783,
9000,0.911661,0.950276,0.930568,
9000,0.909091,0.939227,0.923913,
10000,0.922801,0.946593,0.934545,
10000,0.905263,0.950276,0.927224,
10000,0.926259,0.948435,0.937216,
